SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_AddWeak_Head,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_AddWeak_Head,DirectOriginalTimeline,30,1,14,0.43333334,0.43333334,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_LockOnMove_B,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_LockOnMove_B,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_LockOnMove_F,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_LockOnMove_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_LockOnMove_L,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_LockOnMove_L,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_LockOnMove_R,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_LockOnMove_R,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_Run_F,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_Run_F,DirectOriginalTimeline,30,1,33,1.0666667,1.0666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_Sprint_F,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_Sprint_F,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_Stand_F,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_Stand_F,DirectOriginalTimeline,30,1,121,4.0,4.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_Walk_F,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_Walk_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Boss/01_Yetuga/Moving/Move/AC_M_Yetuga_Turn_L,/Game/_Art/Enemies/HeinMach/Bosses/Yetuga/Animations/Playback/A_EN_PLAY_AC_M_Yetuga_Turn_L,CompositeBake,4785971,80088,61,1.0040345,1.6666666,True,1.0
