Family,PlaybackAsset,Derivation,OriginalPackage,FPS,Samples,Seconds,RateScale,PreviousRole
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_CA_M_EmpBow_Die_F,CompositeBake,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/Weapon/AC_CA_M_EmpBow_Die_F,30/1,601,20.0,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmirepBow_Basic_Talk_End_01,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Moving/Reaction/AC_EmirepBow_Basic_Talk_End_01,30/1,69,2.2666666507720947,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmirepBow_Basic_Talk_Loop_01,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Moving/Reaction/AC_EmirepBow_Basic_Talk_Loop_01,30/1,296,9.833333015441895,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpBow_DamageGrapple_Atk_B_01,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Moving/Reaction/AC_EmpBow_DamageGrapple_Atk_B_01,30/1,41,1.3333333730697632,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpBow_DamageGrapple_Atk_B_02,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Moving/Reaction/AC_EmpBow_DamageGrapple_Atk_B_02,30/1,76,2.5,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpBow_Peace,CompositeBake,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/Weapon/AC_EmpBow_Peace,30/1,511,17.0,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpireBow_BackShoot,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Skill/03_BackShoot/AC_EmpireBow_BackShoot,5425325/90224,139,2.294961452484131,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpireBow_BasicShoot_End,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Skill/01_BasicShoot/AC_EmpireBow_BasicShoot_End,5863665/97969,82,1.3533326387405396,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpireBow_BasicShoot_Fail,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Skill/01_BasicShoot/AC_EmpireBow_BasicShoot_Fail,3200038/53107,48,0.7799997925758362,1.0,PlaybackClip
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/Playback/A_EN_PLAY_AC_EmpireBow_BasicShoot_Loop,CompositeBake,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Skill/01_BasicShoot/AC_EmpireBow_BasicShoot_Loop,30/1,19,0.6000000238418579,1.0,PlaybackClip
