Family,PlaybackAsset,SourceAssets,Classification,Changes,CompositeSeconds,PlaybackSeconds,FrameRate,MaxTimeWarpSeconds
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_CA_M_EmpBow_Die_F,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Die_F_c3121f23,ChangedTimeline,source_trim,20.0,20.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpBow_Peace,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Stand_Peace_F_dc5a01d8,ChangedTimeline,source_trim,17.0,17.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Down_End,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Down_End,EquivalentSourceTimeline,,1.0,1.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Down_L,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Down_L,EquivalentSourceTimeline,,0.6,0.6,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Down_R,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Down_R,EquivalentSourceTimeline,,0.6,0.6,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Down_Start,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Down_Start,EquivalentSourceTimeline,,1.1333333,1.1333333,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Loop_L_Idle,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Loop_L_Idle,EquivalentSourceTimeline,,1.6666666,1.6666666,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Loop_R_Idle,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Loop_R_Idle,EquivalentSourceTimeline,,1.6666666,1.6666666,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Up_End,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Up_End,EquivalentSourceTimeline,,1.6666666,1.6666666,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Up_L,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Up_L,EquivalentSourceTimeline,,0.6,0.6,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Up_R,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Up_R,EquivalentSourceTimeline,,0.6,0.6,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_ClimbingWall_Up_Start,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_PicaBow_ClimbingWall_Up_Start,EquivalentSourceTimeline,,1.0,1.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Equip,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword,EquivalentSourceTimeline,,1.0,0.99999964,"[5555582, 92593]",3.600000000325565e-07
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Equip_Turn_L,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword_Turn_L,EquivalentSourceTimeline,,1.1666666,1.1666662,"[4999982, 83333]",5.00000000069889e-07
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Equip_Turn_R,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_CarryASword_Turn_R,EquivalentSourceTimeline,,1.3666667,1.3666661,"[2411761, 40196]",6.000000001282757e-07
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Stand_Peace,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Stand_Peace_F,EquivalentSourceTimeline,,2.3333333,2.3333333,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Turn_L_Peace,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Turn_Peace_L,EquivalentSourceTimeline,,1.0,1.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Turn_L_Peace_180,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Turn_Peace_L_180,EquivalentSourceTimeline,,2.1,2.1,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Turn_R_Peace,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Turn_Peace_R,EquivalentSourceTimeline,,1.0,1.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Turn_R_Peace_180,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_Turn_Peace_R_180,EquivalentSourceTimeline,,2.1,2.1,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_UnEquip,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_FootSword,EquivalentSourceTimeline,,1.0,1.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmirepBow_Basic_Talk_End_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleTalk_End_01,EquivalentSourceTimeline,,2.2666667,2.2666667,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmirepBow_Basic_Talk_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleTalk_Loop_01,EquivalentSourceTimeline,,9.833333,9.833333,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpBow_DamageGrapple_Atk_B_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_Atk_B_01,EquivalentSourceTimeline,,1.3333334,1.3333334,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpBow_DamageGrapple_Atk_B_02,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageGrapple_Atk_B_02,EquivalentSourceTimeline,,2.5,2.5,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_ChairSit_End_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleChairSit_End_01,EquivalentSourceTimeline,,2.0,2.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_ChairSit_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleChairSit_Loop_01,EquivalentSourceTimeline,,7.5333333,7.5333333,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_End_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattle_Basic_End_01,EquivalentSourceTimeline,,1.4,1.4,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Guard_End_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleGuard_End_01,EquivalentSourceTimeline,,1.1666666,1.1666666,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Guard_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleGuard_Loop_01,EquivalentSourceTimeline,,14.1,14.1,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattle_Basic_Loop_01,EquivalentSourceTimeline,,16.666666,16.666666,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Search_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleSearch_Loop_02,EquivalentSourceTimeline,,12.0,12.0,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Sit_End_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleSit_End_01,EquivalentSourceTimeline,,2.5,2.5,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Basic_Sit_Loop_01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_NoBattleSit_Loop_01,EquivalentSourceTimeline,,15.7,15.7,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_DamageAir_B_Down,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_B,ChangedTimeline,source_trim,0.167,0.167,"[5000, 167]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_DamageAir_B_Land,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_B,ChangedTimeline,source_trim,0.89903337,0.89903337,"[2000869, 66624]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_DamageAir_B_Peak,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_B,ChangedTimeline,source_trim,0.10000001,0.10000001,"[30, 1]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_DamageAir_B_Up,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_B,ChangedTimeline,source_trim,0.167,0.167,"[5000, 167]",0
Archer,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_DamageAir_F_Down,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_DamageAir_F,ChangedTimeline,source_trim,0.167,0.167,"[5000, 167]",0
