Family,Kind,UnrealAsset,OriginalPackage,DurationSeconds,SampleCount,FrameRateNumerator,FrameRateDenominator,PlayRate,TimingContract
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_C_I_Empire_Q1Staff001_Stand,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Staff/Animation/C_I_Empire_Q1Staff001_Stand,1.0,31,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Die_Sick_B,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Die_Sick_B,3.5,106,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Die_Sick_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Die_Sick_F,4.8,145,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Down_Sick_B_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Down_Sick_B_Loop,6.3333335,191,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Down_Sick_B_Loop_Idle,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Down_Sick_B_Loop_Idle,0.5,16,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Down_Sick_F_Loop,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Down_Sick_F_Loop,11.4,343,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Down_Sick_F_Loop_Idle,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Down_Sick_F_Loop_Idle,0.33333334,11,30,1,1.0,Original sequence time
SharedSourceReferences,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/SharedSourceReferences/Animations/SourceSequences/A_EN_SRC_CA_M_Human_Adult_M_Stand_Sick_F,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/CA_M_Human_Adult_M_Stand_Sick_F,14.933333,449,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_BackShoot,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_BackShoot,1.6666666,51,30,1,1.0,Original sequence time
Archer,SourceSequence,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/SourceSequences/A_EN_SRC_CA_M_EmpBow_BasicShoot_End,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster_Human/Adult/Adult_M/Animation/EmpireBow/CA_M_EmpBow_BasicShoot_End,0.8666667,27,30,1,1.0,Original sequence time
