Family,SourceLevel,Blueprint,IdleAnimation,OriginalCharacterBlueprint,EquipmentPackages
Swordsman,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Blueprints/BP_EN_Swordsman_U01_L01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Animations/SourceSequences/A_EN_SRC_CA_M_EmpSwd_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireSword/Base_Setting/CB_EmpireSword_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002
Swordsman,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Blueprints/BP_EN_Swordsman_U01_L02,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Animations/SourceSequences/A_EN_SRC_CA_M_EmpSwd_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireSword/Base_Setting/CB_EmpireSword_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002
Swordsman,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Blueprints/BP_EN_Swordsman_U02_L01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Animations/SourceSequences/A_EN_SRC_CA_M_EmpSwd_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireSword/Base_Setting/CB_EmpireSword_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002
Swordsman,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Blueprints/BP_EN_Swordsman_U02_L02,/Game/_Art/Enemies/HeinMach/Humanoids/Swordsman/Animations/SourceSequences/A_EN_SRC_CA_M_EmpSwd_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireSword/Base_Setting/CB_EmpireSword_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002
SwordShield,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Blueprints/BP_EN_SwordShield_U01_L01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Animations/SourceSequences/A_EN_SRC_CA_M_EmpireSwordShield_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/Empire_SwordShield/Base_Setting/CB_Empire_SwordShield,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/SwordShield/Model/C_I_SwordShield_Default001_L/C_I_SwordShield_Default001V2_L1
SwordShield,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Blueprints/BP_EN_SwordShield_U01_L02,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Animations/SourceSequences/A_EN_SRC_CA_M_EmpireSwordShield_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/Empire_SwordShield/Base_Setting/CB_Empire_SwordShield,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/SwordShield/Model/C_I_SwordShield_Default001_L/C_I_SwordShield_Default001V2_L1
SwordShield,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Blueprints/BP_EN_SwordShield_U02_L01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Animations/SourceSequences/A_EN_SRC_CA_M_EmpireSwordShield_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/Empire_SwordShield/Base_Setting/CB_Empire_SwordShield,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/SwordShield/Model/C_I_SwordShield_Default001_L/C_I_SwordShield_Default001V2_L1
SwordShield,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Blueprints/BP_EN_SwordShield_U02_L02,/Game/_Art/Enemies/HeinMach/Humanoids/SwordShield/Animations/SourceSequences/A_EN_SRC_CA_M_EmpireSwordShield_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/Empire_SwordShield/Base_Setting/CB_Empire_SwordShield,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_Empire_Q1Sword001/C_I_Empire_Q1Sword002 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/SwordShield/Model/C_I_SwordShield_Default001_L/C_I_SwordShield_Default001V2_L1
Archer,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Blueprints/BP_EN_Archer_U01_L01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Base_Setting/CB_EmpireBow_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1BowArrow002V2 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1Quiver002
Archer,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Blueprints/BP_EN_Archer_U01_L02,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Base_Setting/CB_EmpireBow_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1BowArrow002V2 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1Quiver002
Archer,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Blueprints/BP_EN_Archer_U02_L01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Base_Setting/CB_EmpireBow_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1BowArrow002V2 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1Quiver002
Archer,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Blueprints/BP_EN_Archer_U02_L02,/Game/_Art/Enemies/HeinMach/Humanoids/Archer/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireBow_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireBow/Base_Setting/CB_EmpireBow_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1BowArrow002V2 | BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Bow/Model/Empire/C_I_Empire_Q1Quiver002
HeavySwordsman,HeinMach_Spawn_Main01,/Game/_Art/Enemies/HeinMach/Humanoids/HeavySwordsman/Blueprints/BP_EN_HeavySwordsman_U01_L01,/Game/_Art/Enemies/HeinMach/Humanoids/HeavySwordsman/Animations/SourceSequences/A_EN_SRC_CA_M_ESwordHArmor_Stand,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/Empire_SwordHArmor/Base_Setting/CB_Empire_SwordHArmor_Early,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Sword/Model/C_I_EmpireElite_Sword001/C_I_EmpireElite_Sword001V2
Mage,OtherRegions_NotInHeinMachSpawn,/Game/_Art/Enemies/OtherRegions/Humanoids/Mage/Blueprints/BP_EN_Mage_U01_L01,/Game/_Art/Enemies/OtherRegions/Humanoids/Mage/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireMagic_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireMagic/Base_Setting/CB_EmpireMagic,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Staff/Model/C_I_Empire_Q1Staff001/C_I_Empire_Q1Staff001
MageHard,OtherRegions_NotInHeinMachSpawn,/Game/_Art/Enemies/OtherRegions/Humanoids/MageHard/Blueprints/BP_EN_MageHard_U01_L01,/Game/_Art/Enemies/OtherRegions/Humanoids/Mage/Animations/PlaybackClips/A_EN_PLAY_AC_EmpireMagic_Stand_F,BBQ/Content/_Kazan_/Design/Monster/Human/Empire/EmpireMagic/Base_Setting/CB_EmpireMagic_Hard,BBQ/Content/_Kazan_/Art/Character/CHA_Model/Item/Staff/Model/C_I_Empire_Staff002/C_I_Empire_Staff002
