SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_AddWeak_Head,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_AddWeak_Head,DirectOriginalTimeline,30,1,13,0.4,0.4,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_LockOnMove_B,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_LockOnMove_B,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_LockOnMove_F,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_LockOnMove_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_LockOnMove_L,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_LockOnMove_L,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_LockOnMove_R,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_LockOnMove_R,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Run_F,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Run_F,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Run_FL,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Run_FL,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Run_FR,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Run_FR,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Stand_F,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Stand_F,DirectOriginalTimeline,30,1,87,2.8666666,2.8666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Walk_F,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Walk_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Walk_FL,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Walk_FL,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/BigBear/Animation/CA_M_BigBear_Walk_FR,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_CA_M_BigBear_Walk_FR,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_DamageGrappleAtk_B_01,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_DamageGrappleAtk_B_01,CompositeBake,30,1,41,1.3333334,1.3333334,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_DamageGrappleAtk_B_02,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_DamageGrappleAtk_B_02,CompositeBake,30,1,76,2.5,2.5,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_Falling,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_Falling,CompositeBake,30,1,4,0.1,0.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_Turn_L,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_Turn_L,CompositeBake,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_Turn_L_180,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_Turn_L_180,CompositeBake,30,1,46,1.5,1.5,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_Turn_R,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_Turn_R,CompositeBake,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BIgBear_E_Turn_R_180,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BIgBear_E_Turn_R_180,CompositeBake,30,1,46,1.5,1.5,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BigBear_Basic_End_05,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BigBear_Basic_End_05,CompositeBake,30,1,47,1.5333333,1.5333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/BigBear_E/Moving/Reaction/AC_BigBear_Basic_Loop_05,/Game/_Art/Enemies/Shared/Beasts/BigBear/Animations/Playback/A_EN_PLAY_AC_BigBear_Basic_Loop_05,CompositeBake,30,1,108,3.5666666,3.5666666,False,1.0
