SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_LockOnMove_B,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_LockOnMove_B,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_LockOnMove_F,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_LockOnMove_F,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_LockOnMove_L,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_LockOnMove_L,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_LockOnMove_R,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_LockOnMove_R,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Run_F,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Run_F,DirectOriginalTimeline,30,1,14,0.43333334,0.43333334,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Run_FL,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Run_FL,DirectOriginalTimeline,30,1,14,0.43333334,0.43333334,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Run_FR,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Run_FR,DirectOriginalTimeline,30,1,14,0.43333334,0.43333334,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Stand_F,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Stand_F,DirectOriginalTimeline,30,1,129,4.266667,4.266667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Walk_F,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Walk_F,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Walk_FL,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Walk_FL,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/WildBoar/Ani/CA_M_WildBoar_Walk_FR,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_CA_M_WildBoar_Walk_FR,DirectOriginalTimeline,30,1,31,1.0,1.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/WildBoar_New/Moving/Reaction/AC_M_WildBoar_New_DamFinalblow,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_AC_M_WildBoar_New_DamFinalblow,CompositeBake,30,1,136,4.5,4.5,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Beast/WildBoar_New/Moving/Reaction/AC_WildBoar_Basic_End_03,/Game/_Art/Enemies/Shared/Beasts/WildBoar/Animations/Playback/A_EN_PLAY_AC_WildBoar_Basic_End_03,CompositeBake,30,1,22,0.7,0.7,False,1.0
