SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_LockOnWalk_B,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_LockOnWalk_B,DirectOriginalTimeline,30,1,47,1.5333333,1.5333333,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_LockOnWalk_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_LockOnWalk_F,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_LockOnWalk_L,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_LockOnWalk_L,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_LockOnWalk_R,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_LockOnWalk_R,DirectOriginalTimeline,30,1,37,1.2,1.2,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Run_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Run_F,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Run_FL,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Run_FL,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Run_FR,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Run_FR,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Run_F_02,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Run_F_02,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Sprint_F,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Sprint_F,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/PicaroonDog/Animation/CA_M_PicaDog_Sprint_FL,/Game/_Art/Enemies/Shared/Beasts/WildDog/Animations/Playback/A_EN_PLAY_CA_M_PicaDog_Sprint_FL,DirectOriginalTimeline,30,1,19,0.6,0.6,False,1.0
