SourcePackage,Destination,PlaybackDerivation,FPSNumerator,FPSDenominator,Samples,DurationSeconds,SourceSequenceLength,DilationApplied,RateScale
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_AddWeak_Head,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_AddWeak_Head,DirectOriginalTimeline,30,1,14,0.43333334,0.43333334,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_LockOnMove_B,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_LockOnMove_B,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_LockOnMove_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_LockOnMove_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_LockOnMove_L,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_LockOnMove_L,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_LockOnMove_R,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_LockOnMove_R,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_Run_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_Run_F,DirectOriginalTimeline,30,1,33,1.0666667,1.0666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_Sprint_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_Sprint_F,DirectOriginalTimeline,30,1,21,0.6666667,0.6666667,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_Stand_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_Stand_F,DirectOriginalTimeline,30,1,121,4.0,4.0,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/ApesStoneHandElite/Animation/CA_M_ApesStoneHandElite_Walk_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_ApesStoneHandElite_Walk_F,DirectOriginalTimeline,30,1,51,1.6666666,1.6666666,False,1.0
BBQ/Content/_Kazan_/Art/Character/CHA_Model/Monster/Yetuga/Ani/CA_M_Yetuga_Stand_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_CA_M_Yetuga_Stand_F,DirectOriginalTimeline,30,1,121,4.0,4.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHandElite_Basic_End_01,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHandElite_Basic_End_01,CompositeBake,30,1,66,2.1666667,2.1666667,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHandElite_Basic_End_02,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHandElite_Basic_End_02,CompositeBake,30,1,82,2.7,2.7,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHandElite_Basic_Loop_01,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHandElite_Basic_Loop_01,CompositeBake,30,1,461,15.333333,15.333333,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHandElite_Basic_Loop_02,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHandElite_Basic_Loop_02,CompositeBake,30,1,206,6.8333335,6.8333335,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamFinalblow,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamFinalblow,CompositeBake,30,1,181,6.0,6.0,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageGrapple_Atk_01,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageGrapple_Atk_01,CompositeBake,30,1,40,1.3,1.3,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageGrapple_Atk_02,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageGrapple_Atk_02,CompositeBake,30,1,34,1.1,1.1,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageGrapple_Atk_B_01,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageGrapple_Atk_B_01,CompositeBake,30,1,41,1.3333334,1.3333334,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageGrapple_Atk_B_02,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageGrapple_Atk_B_02,CompositeBake,30,1,74,2.4333334,2.4333334,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageNormal_D_B,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageNormal_D_B,CompositeBake,4658013,77618,61,0.9997997,0.7,True,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageNormal_D_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageNormal_D_F,CompositeBake,30,1,23,0.73333335,0.73333335,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageNormal_L_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageNormal_L_F,CompositeBake,30,1,22,0.7,0.7,False,1.0
BBQ/Content/_Kazan_/Design/Monster/Apes/ApesStoneHand_E/Moving/Reaction/AC_ApesStoneHand_E_DamageNormal_R_F,/Game/_Art/Enemies/Shared/Elites/ApesStoneHandElite/Animations/Playback/A_EN_PLAY_AC_ApesStoneHand_E_DamageNormal_R_F,CompositeBake,30,1,22,0.7,0.7,False,1.0
